name,neighbourhood,latitude,longitude,room_type,minimum_nights,price,price_per_night,number_of_reviews,last_review,reviews_per_month
Lincoln Square Apartment,Lincoln Square,41.96786398,-87.68569856,Entire home/apt,3,$195.00,$65.00,12,07/05/2017,0.66
Entire Two Bedroom Condo,Lincoln Square,41.97489789,-87.6900625,Entire home/apt,1,$94.00,$94.00,68,07/05/2017,4.85
Great private room!  Near Lincoln Square,Lincoln Square,41.97204762,-87.69619014,Private room,1,$40.00,$40.00,1,31/12/2016,0.23
"3bd, 2ba Spacious Lincoln Square apt. w/Parking",Lincoln Square,41.97641889,-87.69174181,Entire home/apt,1,$205.00,$205.00,17,09/05/2017,2.37
Entire 3BR 2BA Lincoln Square Condo with Parking,Lincoln Square,41.97638326,-87.69683175,Entire home/apt,1,$85.00,$85.00,12,07/05/2017,6.32
Chicago 2 Bedroom Condo,Lincoln Square,41.9729372,-87.69583443,Entire home/apt,2,$180.00,$90.00,11,06/11/2016,0.65
Private room/bath in Hyde Park,Hyde Park,41.80067724,-87.6042097,Private room,1,$65.00,$65.00,31,06/05/2017,2.32
One bedroom/bath historic Hyde Park,Hyde Park,41.79822037,-87.59989149,Private room,1,$70.00,$70.00,30,29/04/2017,3.81
Don't You Deserve a Lil Pampering? Lush Bed Awaits,Hyde Park,41.79898995,-87.58972592,Private room,1,$59.00,$59.00,88,24/04/2017,3.47
Hyde Park Row House,Hyde Park,41.79676998,-87.60356061,Entire home/apt,3,$140.00,$46.67,6,23/04/2017,0.64
Vintage HydePark condo,Hyde Park,41.80054176,-87.59809883,Private room,2,$70.00,$35.00,25,06/11/2016,1.06
Convenient and Cozy One Bedroom in Hyde Park,Hyde Park,41.79593507,-87.58817596,Entire home/apt,2,$42.00,$21.00,3,23/04/2017,0.67
Hyde Park Spacious Apartment,Hyde Park,41.80174147,-87.60017585,Entire home/apt,2,$110.00,$55.00,5,01/05/2017,2.5
Hyde Park Rooms2,Hyde Park,41.80173577,-87.59289723,Private room,2,$45.00,$22.50,40,16/10/2016,1.15
1 Bedroom in Hyde Park,Hyde Park,41.79536985,-87.58279167,Entire home/apt,1,$120.00,$120.00,19,14/04/2017,1.58
"Artful Comforts in the Hyde Park, close to University and Hospital",Hyde Park,41.79680982,-87.59664609,Entire home/apt,1,$60.00,$60.00,12,02/05/2017,1.71
Hyde Park One Bdrm Apt ($85/night for 31 days),Hyde Park,41.80027776,-87.5936031,Entire home/apt,7,$95.00,$13.57,19,11/03/2017,0.51
2 A Walk in Hyde Park,Hyde Park,41.79554928,-87.59174205,Private room,2,$37.00,$18.50,34,11/03/2017,1.09
Hippie Haven in Hyde Park,Hyde Park,41.79869005,-87.5968028,Entire home/apt,1,$65.00,$65.00,10,29/04/2017,2.33
Close to campus roomy apartment - Room 1,Hyde Park,41.79142523,-87.595272,Private room,3,$30.00,$10.00,4,08/09/2016,0.38
1 A Hyde Park Co-op living,Hyde Park,41.79535661,-87.59219207,Private room,2,$30.00,$15.00,13,19/11/2016,0.44
spacious private room in Hyde Park,Hyde Park,41.79924958,-87.5846098,Private room,3,$46.00,$15.33,33,24/04/2017,3.69
5 Sabbatical in Hyde Park,Hyde Park,41.79718187,-87.59378733,Entire home/apt,2,$150.00,$75.00,8,09/10/2016,0.59
Historic Chicago Home - Hyde Park,Hyde Park,41.8008596,-87.58948398,Entire home/apt,7,$375.00,$53.57,7,24/04/2014,0.12
Beautiful lakefront apartment for the summer,Hyde Park,41.79658319,-87.58244843,Entire home/apt,14,$120.00,$8.57,0,,
Modern 2BR HydePark Condo w/Parking,Hyde Park,41.80002074,-87.60055857,Entire home/apt,2,$270.00,$135.00,13,19/09/2016,0.54
"Down Town Hyde Park, Beach, University of Chicago",Hyde Park,41.79947301,-87.58847903,Private room,1,$100.00,$100.00,0,,
Cozy affordable Private place to sleep n relax,Hyde Park,41.8010954,-87.58423869,Private room,1,$83.00,$83.00,8,07/05/2017,1.12
Cozy Single-Family Home near University of Chicago,Hyde Park,41.78977182,-87.58915969,Entire home/apt,1,$191.00,$191.00,65,17/04/2017,1.94
Close to campus roomy apartment - Room 2,Hyde Park,41.79143467,-87.59387669,Private room,5,$29.00,$5.80,2,11/09/2016,0.25
U of C campus rooms,Hyde Park,41.79511695,-87.60210676,Private room,5,$70.00,$14.00,0,,
1 bedroom in spacious nice apartment,Hyde Park,41.8012766,-87.6013483,Private room,5,$65.00,$13.00,0,,
Hyde Park Hideaway near University of Chicago,Hyde Park,41.79973027,-87.59070528,Private room,1,$24.00,$24.00,16,20/04/2017,4.71
Classic Chicago Apt with quiet room,Hyde Park,41.79782338,-87.58494647,Private room,1,$45.00,$45.00,6,30/04/2017,3.33
Really nice 2-bedroom Suite with free parking,Hyde Park,41.79073903,-87.59575274,Private room,2,$85.00,$42.50,12,17/04/2017,1.71
3 Comforts of Cooperative Living,Hyde Park,41.79708495,-87.59194894,Private room,2,$35.00,$17.50,23,16/04/2017,0.74
The West Room near U of Chicago,Hyde Park,41.78980452,-87.58960685,Private room,1,$94.00,$94.00,42,17/09/2016,1.32
Classic Rowhouse with Patio and BBQ,Hyde Park,41.79564411,-87.59855774,Entire home/apt,3,$195.00,$65.00,5,27/11/2016,0.45
Prime Location Cozy Apartment in Hyde Park,Hyde Park,41.79141429,-87.59380341,Private room,1,$60.00,$60.00,10,07/05/2017,7.69
Really nice private room and bathroom with parking,Hyde Park,41.79019796,-87.59800873,Private room,2,$95.00,$47.50,28,28/04/2017,2.83
Handsome 3BR in Hyde Park,Hyde Park,41.79696362,-87.60590796,Entire home/apt,2,$139.00,$69.50,4,21/04/2017,1.82
Private Garden Suite,Hyde Park,41.79056226,-87.59013173,Private room,1,$105.00,$105.00,54,10/04/2017,2.56
Bright & Spacious Room in Hyde Park,Hyde Park,41.79511014,-87.585661,Private room,1,$50.00,$50.00,0,,
Your Charming Hyde Park Hideaway,Hyde Park,41.80224491,-87.59765292,Entire home/apt,1,$88.00,$88.00,8,08/05/2017,1.45
1 minute to Medical&UChi/20min downtown/Cozy Stay!,Hyde Park,41.79192719,-87.60527753,Private room,1,$45.00,$45.00,60,22/04/2017,5.57
