name,neighbourhood,latitude,longitude,room_type,minimum_nights,price,price_per_night,number_of_reviews,last_review,reviews_per_month
Luxury Downtown Getaway w/ Instagram Worthy Views,Loop,41.88430147,-87.6267276,Entire home/apt,2,$100.00,$50.00,45,26/04/2017,8.94
Downtown Dockside,Loop,41.88638943,-87.61149973,Entire home/apt,1,$110.00,$110.00,0,,
Beautiful One Bedroom Right By the River,Loop,41.8873594,-87.61989197,Entire home/apt,7,$165.00,$23.57,0,,
Lake Effect | Stunning Studio in the Loop,Loop,41.88574069,-87.61451479,Entire home/apt,2,$143.00,$71.50,5,06/05/2017,4.17
Cozy Convertible With Amazing View,Loop,41.88699216,-87.61564526,Entire home/apt,30,$134.00,$4.47,4,26/03/2017,0.71
Fully Furnished 1 BDR in the loop! Chicago 1,Loop,41.88239182,-87.63327129,Entire home/apt,30,$129.00,$4.30,4,15/04/2017,0.61
Unique Loft Experience Convenient To McCormick Pl,Loop,41.87511166,-87.63154313,Entire home/apt,1,$300.00,$300.00,0,,
Hotel Blake in Chicago,Loop,41.87561964,-87.63065881,Entire home/apt,2,$299.00,$149.50,0,,
LUX LOOP TOWER - VIEW! Sleeps 5,Loop,41.8868166,-87.63212502,Entire home/apt,21,$176.00,$8.38,0,,
Stylish City Center 2 Bedroom,Loop,41.88533434,-87.62366956,Entire home/apt,2,$399.00,$199.50,6,07/05/2017,3.53
(06B) Downtown convenience with suburban price,Loop,41.87218788,-87.62466958,Private room,3,$55.00,$18.33,4,01/08/2016,0.37
"Modern Lux w/ HOT TUB, GYM, SKYPARK",Loop,41.88543281,-87.6268777,Entire home/apt,2,$75.00,$37.50,13,28/04/2017,1.83
"MONTLY RENTAL WINTER SPECIAL - DISCOUNT |POOL, GYM",Loop,41.87347,-87.63176771,Entire home/apt,10,$159.00,$15.90,1,23/11/2016,0.18
"Large room, luxury apartment, with a view on river",Loop,41.88723989,-87.61924997,Private room,2,$49.00,$24.50,0,,
"LUXURY Condo in LOOP Chicago, Female& Couple only!",Loop,41.88559407,-87.61930692,Private room,2,$189.00,$94.50,6,19/03/2017,0.68
Printers Row with great roof views,Loop,41.87005318,-87.62542049,Private room,1,$115.00,$115.00,4,20/03/2017,0.69
(01A) Apartment Steps From Chicago's Grant Park,Loop,41.87052775,-87.6248299,Private room,3,$55.00,$18.33,1,31/07/2016,0.11
Modern High Rise Apartment Downtown,Loop,41.88585218,-87.61648078,Entire home/apt,9,$205.00,$22.78,0,,
Downtown Chicago Loft Apartment,Loop,41.87994087,-87.63482829,Entire home/apt,1,$189.00,$189.00,10,02/05/2017,1.53
Sleep 8 at The Bean! (5d),Loop,41.88271039,-87.62534574,Entire home/apt,1,$199.00,$199.00,55,06/05/2017,5.43
1BR LUX in Loop. Excellent spot!,Loop,41.88678808,-87.6323973,Entire home/apt,21,$110.00,$5.24,0,,
Room in a luxury apartment - Chicago downtown,Loop,41.88688922,-87.61745102,Private room,2,$60.00,$30.00,0,,
Stunning lakeside apt next to Millennium Park,Loop,41.88735561,-87.61716961,Entire home/apt,1,$350.00,$350.00,7,14/12/2016,0.95
Downtown Chicago Loft Apartment,Loop,41.87497436,-87.63132695,Private room,1,$134.00,$134.00,44,04/05/2017,3.58
"Modern Space, Historic Neighborhood",Loop,41.8742522,-87.6292575,Private room,2,$88.00,$44.00,0,,
PREMIUM EXCLUSIVE 2 BEDROOM 2 BATH POOL HOT-TUB,Loop,41.87246347,-87.63056301,Entire home/apt,30,$131.00,$4.37,1,28/01/2017,0.29
Fully Furnished 1 BDR in the loop! Chicago 2,Loop,41.88322755,-87.63463034,Entire home/apt,30,$139.00,$4.63,8,16/03/2017,1.13
BEST Apartment In the Heart of Downtown,Loop,41.88845571,-87.62360424,Entire home/apt,2,$125.00,$62.50,0,,
LAKESHORE MILLENNIUM PARK IV,Loop,41.88708941,-87.61797131,Entire home/apt,3,$334.00,$111.33,28,30/12/2016,1.11
LAKESHORE MILLENNIUM PARK I,Loop,41.88640319,-87.61949005,Entire home/apt,3,$334.00,$111.33,75,11/04/2017,1.96
BEST VIEWS !!! Millennium Park 2 BEDROOM - BALCONY,Loop,41.88747374,-87.61561707,Entire home/apt,30,$300.00,$10.00,1,11/09/2016,0.12
Smart Home in Stellar Location,Loop,41.86838328,-87.62077703,Entire home/apt,2,$250.00,$125.00,30,08/05/2017,2.64
Convenient cozy historic apartment,Loop,41.86855836,-87.62523604,Entire home/apt,1,$180.00,$180.00,0,,
Crash at the BEAN - Sleeps 3!,Loop,41.88253731,-87.62650537,Entire home/apt,1,$75.00,$75.00,41,30/04/2017,5.8
(Z04B) Downtown convenience with suburban price,Loop,41.87007084,-87.62596389,Shared room,3,$55.00,$18.33,0,,
"LAKESHORE & MILLENNIUM LUXURY STAY, FREE PARKING",Loop,41.88720966,-87.61613644,Entire home/apt,1,$89.00,$89.00,0,,
Crash at the BEAN - Sleeps 2!,Loop,41.88249524,-87.6262551,Entire home/apt,1,$49.00,$49.00,9,03/05/2017,4.35
Views of the city 1 bedroom. Very exotic,Loop,41.87044972,-87.63077306,Entire home/apt,1,$210.00,$210.00,1,23/04/2017,1
New Apt in the Heart of Chicago Cool /South Loop,Loop,41.8691801,-87.63136513,Entire home/apt,2,$199.00,$99.50,4,07/05/2017,0.42
HIGH RISE IN DOWNTOWN Chicago -  $40 OF COUPON,Loop,41.87793982,-87.62465301,Private room,3,$29.00,$9.67,159,05/05/2017,2.66
Modern Luxury Apartment with Private Bath,Loop,41.88151175,-87.62530054,Private room,1,$129.00,$129.00,3,07/04/2017,1.53
Beautiful Downtown High Rise Condo Millennium Park,Loop,41.88519007,-87.62515022,Entire home/apt,1,$225.00,$225.00,0,,
Stunning South Loop Condo w/ Amazing City Views!!!,Loop,41.87190399,-87.62685631,Entire home/apt,3,$149.00,$49.67,18,25/04/2017,2.19
MILLENNIUM PARK. GORGEOUS ROOM ON THE LOOP- B4,Loop,41.88256331,-87.62461258,Private room,3,$19.00,$6.33,15,23/04/2017,1.27
Modern Loop/River North Apt. 1 BDR Great Building,Loop,41.88574865,-87.62447665,Entire home/apt,2,$399.00,$199.50,5,06/05/2017,1.58
Expansive views. ICONIC BUILDING.,Loop,41.88740276,-87.62163521,Entire home/apt,20,$200.00,$10.00,7,09/04/2017,0.47
1bdr in the loop,Loop,41.88736019,-87.61603254,Entire home/apt,2,$132.00,$66.00,0,,
Zen Oasis: 3 Room Master Suite,Loop,41.87631634,-87.62781992,Private room,90,$124.00,$1.38,35,20/11/2015,0.77
2BEDROOM 2BATHROOM MILLENNIUM PARK POOL LOCATION!!,Loop,41.88440909,-87.62475407,Entire home/apt,30,$240.00,$8.00,0,,
3 BR2 Full Bath Downtown w/ Great Amenities,Loop,41.8702807,-87.62489475,Private room,7,$60.00,$8.57,2,30/12/2016,0.3
Palace in the Sky,Loop,41.88340951,-87.63367332,Private room,1,$299.00,$299.00,0,,
Apartment Right in front of Millennium park!!!,Loop,41.88262594,-87.62558711,Entire home/apt,2,$115.00,$57.50,0,,
ICONIC Corner 1BR + Galley Kitchen!,Loop,41.88729331,-87.6192438,Entire home/apt,30,$140.00,$4.67,0,,
"Levitated Lux w/ HOT TUB TIME MACHINE, GYM, POOL",Loop,41.88740547,-87.61747044,Entire home/apt,3,$159.00,$53.00,10,23/04/2017,5
NEW - CLEAN - CORPORATE HOSUING LUX,Loop,41.88781492,-87.61645662,Entire home/apt,25,$157.00,$6.28,0,,
LUXURY 2 BEDROOM 2 BATHROOM 3 BEDS,Loop,41.88778944,-87.61616517,Entire home/apt,30,$217.00,$7.23,1,04/04/2016,0.07
Sleep 10 at The Bean! (3i),Loop,41.88275852,-87.62495701,Entire home/apt,1,$199.00,$199.00,49,30/04/2017,4.82
Sleep 10 at The Bean! (4c),Loop,41.88345815,-87.62643099,Entire home/apt,1,$215.00,$215.00,51,02/05/2017,5.02
1BR ICONIC Chicago Skyscraper,Loop,41.88768792,-87.61901611,Entire home/apt,30,$121.00,$4.03,1,14/02/2016,0.07
LUX LOOP TOWER: DOWNTOWN CHICAGO,Loop,41.88707841,-87.63171609,Entire home/apt,21,$116.00,$5.52,5,05/03/2017,0.35
"2 Bed/2 Bath Luxury Condo in South Loop, Chicago",Loop,41.86828716,-87.62592336,Entire home/apt,2,$200.00,$100.00,3,12/03/2017,0.4
"Equipped 2BD Downtown w/ HOT TUB, GYM, SKYPARK",Loop,41.88649214,-87.62706971,Entire home/apt,2,$95.00,$47.50,18,15/04/2017,1.86
Wonderful 1br right by Millennium Park,Loop,41.88345429,-87.62907102,Entire home/apt,1,$200.00,$200.00,49,21/04/2017,4.59
Sleep 10 at The Bean! (5i),Loop,41.88384992,-87.62539991,Entire home/apt,1,$199.00,$199.00,46,07/05/2017,4.54
Stay Literally Feet from the Bean!,Loop,41.88397986,-87.62566623,Entire home/apt,1,$39.00,$39.00,12,07/05/2017,5.45
Cloud Cover | Two Bedroom High Rise in the Loop,Loop,41.88515583,-87.61553623,Entire home/apt,2,$244.00,$122.00,0,,
(01B) Downtown convenience with suburban price.,Loop,41.87027893,-87.62595857,Private room,3,$55.00,$18.33,0,,
Amazing location in downtown Chicago - QUEEN BED,Loop,41.88595676,-87.62519035,Private room,1,$130.00,$130.00,5,04/03/2017,0.7
Millennium Park Paradise for 8 [Ontario],Loop,41.88274411,-87.6254937,Entire home/apt,1,$225.00,$225.00,11,25/04/2017,4.65
Luxury Home South Loop,Loop,41.86991317,-87.62855737,Entire home/apt,3,$200.00,$66.67,19,30/04/2017,0.45
Room in Extremely Convenient Downtown Location,Loop,41.88414225,-87.62662135,Private room,3,$95.00,$31.67,10,13/02/2017,1.21
Luxury Apartment in Heart of Chicago,Loop,41.88347864,-87.62425608,Private room,2,$129.00,$64.50,4,07/05/2017,2.11
Spacious Downtown LOOP Studio - Sleeps 3,Loop,41.88614188,-87.6256742,Entire home/apt,1,$62.00,$62.00,1,13/11/2016,0.17
PENTHOUSE VIEWS from LAKESHORE EAST,Loop,41.88625535,-87.61612588,Entire home/apt,7,$160.00,$22.86,1,07/10/2016,0.14
LAKESHORE EAST 1 BED MILLENNIUM PARK LOCATION +SPA,Loop,41.88617663,-87.61626067,Entire home/apt,30,$140.00,$4.67,10,23/02/2017,0.3
Millennium Park Paradise for 6 [Grant],Loop,41.88359028,-87.6263514,Entire home/apt,1,$98.00,$98.00,28,27/04/2017,3.96
Corporate housing at LakeShoreEast,Loop,41.8874497,-87.61732084,Entire home/apt,30,$350.00,$11.67,2,22/04/2016,0.1
LAKESHORE MILLENNIUM PARK III,Loop,41.88708826,-87.62022676,Entire home/apt,3,$334.00,$111.33,41,07/04/2017,1.62
Studio in the Heart of Chicago,Loop,41.88846679,-87.62004495,Entire home/apt,3,$109.00,$36.33,12,07/05/2017,0.93
BUESNIESS EXECUTIVE |MODERN RIGHT BY AON |DOWNTOWN,Loop,41.88583657,-87.61587068,Entire home/apt,28,$102.00,$3.64,1,01/05/2016,0.08
Spacious Studio @ the Loop,Loop,41.88857364,-87.62089802,Entire home/apt,3,$115.00,$38.33,0,,
PRIVATE BEDROOM IN CHICAGO FLAT,South Shore,41.75277943,-87.56166367,Private room,7,$19.00,$2.71,4,31/01/2017,0.19
Marion's Lair,South Shore,41.76732932,-87.56804341,Private room,1,$150.00,$150.00,0,,
1 Bedroom Convenient South Shore Gem,South Shore,41.76495837,-87.56712976,Entire home/apt,1,$43.00,$43.00,0,,
Cozy East Chicago home,South Shore,41.76368428,-87.58153172,Entire home/apt,3,$89.00,$29.67,1,24/04/2017,1
PRIVATE STUDIO apartment near LAKE!,South Shore,41.76689427,-87.56783284,Entire home/apt,2,$70.00,$35.00,1,01/01/2017,0.23
Beautiful South Shore Bungalow,South Shore,41.75244878,-87.57388397,Private room,2,$50.00,$25.00,1,14/09/2016,0.13
Basement Room,South Shore,41.76357501,-87.57244481,Private room,1,$55.00,$55.00,15,02/01/2017,1.28
"LAKEFRONT APT Near Golf, Hyde Park, UnivOfChicago",South Shore,41.76271995,-87.56049958,Shared room,30,$25.00,$0.83,0,,
LAKEFRONT APT! Great for JACKSON PARK HOSP Interns,South Shore,41.76214863,-87.55848182,Shared room,32,$25.00,$0.78,1,23/04/2017,1
"$350 Per Mo, Per Person! LAKEFRONT Location!",South Shore,41.76215601,-87.56067442,Shared room,31,$25.00,$0.81,3,02/05/2017,0.26
Room with Shared Bathroom,South Shore,41.76494876,-87.57170132,Private room,1,$45.00,$45.00,5,18/03/2017,0.66
Your own private Studio near  Lake.,South Shore,41.76503799,-87.56652444,Entire home/apt,2,$70.00,$35.00,1,27/11/2016,0.18
MASTER BEDROOM IN CHICAGO CONDO,South Shore,41.75282314,-87.5620128,Private room,7,$19.00,$2.71,7,22/04/2017,0.38
South Side Sunrise,South Shore,41.77280896,-87.56776156,Private room,1,$46.00,$46.00,2,07/05/2017,2
Home away from home 1 bedroom space,South Shore,41.77189581,-87.58962437,Entire home/apt,2,$60.00,$30.00,6,19/03/2017,0.72
PRIVATE RM near UofC or JACKSON PARK Hospital!,South Shore,41.76351433,-87.56076239,Private room,32,$25.00,$0.78,2,19/08/2016,0.21
Luxurious dwelling blocks from lake,South Shore,41.76103166,-87.57118479,Private room,1,$109.00,$109.00,14,15/10/2016,0.62
3BDRM FULLY FURNISHED CONDO,South Shore,41.75421832,-87.56305637,Entire home/apt,7,$49.00,$7.00,0,,
PRIVATE STUDIO APT w/KITCHEN! NEAR LAKE & GOLF!,South Shore,41.76534855,-87.56775773,Entire home/apt,2,$70.00,$35.00,3,03/04/2017,0.49
Beautiful & spacious living by Lake,South Shore,41.76917826,-87.57060858,Entire home/apt,1,$120.00,$120.00,29,09/04/2017,4.05
Snug and Cozy Basement Room,South Shore,41.76475792,-87.57370445,Private room,1,$25.00,$25.00,12,01/05/2017,2.26
Welcoming & Cozy  2/BDR & 1BA Condo,South Shore,41.76365701,-87.59281777,Entire home/apt,1,$92.00,$92.00,43,01/05/2017,3.89
South Shore 2 Bedroom/2 Bath,South Shore,41.76593546,-87.56585436,Entire home/apt,2,$74.00,$37.00,32,22/03/2017,1.42
Art Collector's Pied-a'-terre,South Shore,41.77292719,-87.56951394,Entire home/apt,1,$98.00,$98.00,156,23/04/2017,4.3
Private bedroom in condo,South Shore,41.75435487,-87.56177254,Private room,7,$14.00,$2.00,2,21/04/2017,0.79
"2 Cozy Bd Coach House,W/D, Piano-Mic-Drums-Techy",South Chicago,41.74260314,-87.54795077,Entire home/apt,3,$51.00,$17.00,5,24/04/2017,1.06
"$350 PER MOnth, PER PERSON - BUNK BED, FREE WiFI &",South Chicago,41.73916482,-87.56546966,Shared room,32,$20.00,$0.63,2,18/10/2016,0.28
"$350 PER MONTH, PER PERSON - BUNK BED, FREE WIFI &",South Chicago,41.73966688,-87.5639,Shared room,32,$20.00,$0.63,1,30/11/2016,0.19
Comfy Italiano 2a,South Chicago,41.74346244,-87.55888645,Private room,1,$65.00,$65.00,1,05/05/2017,1
"BUNK BED, FREE WIFI, KITCHEN and more...",South Chicago,41.73959754,-87.56409177,Shared room,32,$20.00,$0.63,1,24/09/2016,0.13
"$350 PER MON., PER PERSON -BUNK BED, FREE WIFI, &.",South Chicago,41.7394294,-87.5643077,Shared room,32,$20.00,$0.63,4,20/04/2017,0.5
"BUNK BED, FREE WIFI, KITCHEN & More!...",South Chicago,41.73964487,-87.56397309,Shared room,32,$20.00,$0.63,4,07/11/2016,0.52
"$350 PER MO., PER PERSON -BUNK BED / FREE WIFI &",South Chicago,41.73812771,-87.56415128,Shared room,32,$20.00,$0.63,2,18/12/2016,0.26
BEDROOMS FOR RENT,South Chicago,41.74237023,-87.55267434,Private room,1,$50.00,$50.00,0,,
"BuNK BED, KITCHEN, FREE WIFI & More.",South Chicago,41.73976248,-87.56511156,Shared room,32,$20.00,$0.63,0,,
Cozy Bed in a Coach House,South Chicago,41.74092158,-87.54753201,Private room,14,$28.00,$2.00,4,01/05/2017,3.64
Cozy Bed in a Coach House,South Chicago,41.74185504,-87.54781886,Private room,7,$49.00,$7.00,0,,
Detached 1Bdrm w/ Living Room!,South Chicago,41.7401305,-87.55134712,Private room,1,$30.00,$30.00,5,18/09/2016,0.46
My Artsy flat,South Deering,41.72077391,-87.57855782,Entire home/apt,3,$100.00,$33.33,26,19/03/2017,1.16
SUBURBAN LOWER LEVEL w/PARKING & UBER,West Pullman,41.67069731,-87.65846166,Private room,1,$35.00,$35.00,3,15/10/2016,0.38
Cozy place by the lake,Hegewisch,41.65723444,-87.54127953,Entire home/apt,1,$108.00,$108.00,4,27/11/2015,0.18
Comfy and Spacious Near Midway Airport,Garfield Ridge,41.80850342,-87.75181491,Entire home/apt,1,$80.00,$80.00,17,09/05/2017,2.32
Graffiti Garden Room Bed & Bath,Garfield Ridge,41.80494817,-87.75283815,Private room,1,$45.00,$45.00,25,10/01/2017,1.42
Red Room Loft Bed Shared Bath,Garfield Ridge,41.80391959,-87.7517221,Private room,1,$35.00,$35.00,29,06/05/2017,2.6
New Remodeled 2BD 1BA Apartment in CHICAGO,Fuller Park,41.8122941,-87.63141783,Entire home/apt,1,$95.00,$95.00,1,29/10/2016,0.15
All new remodeled 3 BD 2 BA house in CHICAGO IL,Fuller Park,41.81255657,-87.63285117,Entire home/apt,1,$155.00,$155.00,1,25/04/2017,0.09
Luxury 4BD 3BA House CHICAGO,Fuller Park,41.81283899,-87.63299378,Entire home/apt,2,$550.00,$275.00,0,,
Gorgeous Private Bedroom CHICAGO,Fuller Park,41.795891,-87.63149809,Private room,1,$42.00,$42.00,0,,
Gorgeous Private Bedroom CHICAGO,Fuller Park,41.81265654,-87.63183968,Private room,1,$34.00,$34.00,1,14/04/2017,1
Large Private Bedroom Close To Hyde Park,Fuller Park,41.79553024,-87.63128722,Private room,1,$42.00,$42.00,0,,
Nice Bedroom & Bath Close To CTA Red Line,Fuller Park,41.8129512,-87.6330959,Private room,1,$34.00,$34.00,0,,
2 TWINS / KING Private Bedroom CHICAGO,Fuller Park,41.8121141,-87.6331732,Private room,1,$37.00,$37.00,0,,
King / 2 Twins Private Bedroom Close to Hyde Park,Fuller Park,41.79694069,-87.63072108,Private room,1,$42.00,$42.00,0,,
Private Bedroom Close To CTA Red Line,Fuller Park,41.81676264,-87.63094725,Private room,1,$39.00,$39.00,0,,
2 Beds Private Bedroom Close To Hyde Park,Fuller Park,41.79531439,-87.63021681,Private room,1,$48.00,$48.00,0,,
Luxury Apartment CHICAGO,Fuller Park,41.81239362,-87.63286646,Entire home/apt,1,$115.00,$115.00,0,,
Big Private Bedroom + Private Bathroom,Fuller Park,41.81281577,-87.63422851,Private room,1,$45.00,$45.00,0,,
1BD across Wrigley Field,Lake View,41.95028086,-87.65769117,Private room,1,$59.00,$59.00,44,08/05/2017,3.66
Breathtaking Views of the Lake in Wrigleyville,Lake View,41.95364266,-87.64553545,Private room,1,$50.00,$50.00,1,08/05/2017,1
Fabulous Bedroom & Bathroom,Lake View,41.95122982,-87.6557292,Private room,1,$130.00,$130.00,20,08/05/2017,2.22
Beautiful Chicago Home steps to Wrigley Field!,Lake View,41.94648919,-87.65396534,Private room,3,$75.00,$25.00,4,26/02/2017,0.65
Jazzy Room in Wrigley - Expert Hosts' New Listing!,Lake View,41.95442906,-87.65485162,Private room,1,$79.00,$79.00,22,23/04/2017,2.55
Guest bed/bathroom with parking,Lake View,41.9427798,-87.64897866,Private room,1,$69.00,$69.00,62,24/04/2017,2.13
Lakeview 1 Private Bedroom,Lake View,41.93395988,-87.64353335,Private room,1,$50.00,$50.00,0,,
Lincoln Park/De Paul area.,Lake View,41.93574268,-87.66225183,Private room,3,$60.00,$20.00,122,04/05/2017,3.27
Steps to Wrigley & Red Line in Quiet Condo,Lake View,41.94706777,-87.65323857,Private room,2,$95.00,$47.50,14,06/11/2016,1.29
Steps to Wrigley,Lake View,41.94899236,-87.65451364,Private room,1,$150.00,$150.00,26,07/05/2017,1.35
Kempt Room in Wrigley - Expert Hosts' New Listing!,Lake View,41.95419083,-87.65617888,Private room,1,$79.00,$79.00,21,23/04/2017,2.41
Cozy Private Room close to the lake and Wrigley,Lake View,41.95255079,-87.6518554,Private room,1,$38.00,$38.00,2,24/04/2017,1.58
Beautiful Chicago Home steps to Wrigley Field!,Lake View,41.94759371,-87.65228205,Private room,2,$75.00,$37.50,14,07/05/2017,1.48
Queen Bedroom With Garage Parking,Lake View,41.94677437,-87.65355926,Private room,1,$110.00,$110.00,5,08/05/2017,0.78
Cozy 1 bed in Boystown,Lake View,41.94255816,-87.64475834,Entire home/apt,1,$88.00,$88.00,11,07/05/2017,4.65
Private Bathroom Queen Bed - Wrigley Field Chicago,Lake View,41.94444409,-87.66774555,Private room,2,$39.00,$19.50,2,07/04/2017,1.11
Cubs Fans: Rent entire floor of beautiful Condo,Lake View,41.95263816,-87.66615836,Private room,1,$300.00,$300.00,1,29/10/2016,0.15
Sunny 4 Bedroom Wrigleyville Condo with Parking,Lake View,41.95289441,-87.65539463,Entire home/apt,2,$299.00,$149.50,0,,
Warm and Spacious Wrigleyville Charmer,Lake View,41.94837085,-87.64941729,Entire home/apt,1,$70.00,$70.00,1,25/04/2017,1
Cozy Wrigley Field Loft,Lake View,41.95253821,-87.65449466,Entire home/apt,2,$250.00,$125.00,0,,
"BEAUTIFUL, CLEAN STUDIO MINUTES FROM WRIGLEY FIELD",Lake View,41.9431705,-87.64070612,Entire home/apt,1,$125.00,$125.00,10,06/05/2017,1.55
Gorgeous & Quiet Escape just One Block to Wrigley,Lake View,41.94597593,-87.65010881,Entire home/apt,2,$325.00,$162.50,6,08/05/2017,1.05
New apartment for a comfortable stay like home,Lake View,41.95108873,-87.6493604,Entire home/apt,2,$100.00,$50.00,1,06/04/2017,0.86
Gorgeous Boystown Renovated Studio!,Lake View,41.93914598,-87.64736652,Entire home/apt,1,$129.00,$129.00,8,29/04/2017,1.25
Lakeview apartment,Lake View,41.94258452,-87.64884316,Entire home/apt,1,$81.00,$81.00,16,22/04/2017,3.69
Clean Room in Lake View East/Wrigleyville,Lake View,41.94146567,-87.64378707,Private room,2,$45.00,$22.50,1,30/04/2017,1
Sublet Studio Apt -Summer in Chicago - 6/01 - 8/15,Lake View,41.94010693,-87.64830139,Entire home/apt,7,$45.00,$6.43,0,,
Close to Wrigley Field /Boystown-Remodeled Studio,Lake View,41.95154679,-87.6467351,Entire home/apt,1,$80.00,$80.00,10,08/05/2017,5.56
Artsy Open Space Apt in Lakeview - Graceland West,Lake View,41.95786379,-87.6659186,Entire home/apt,3,$115.00,$38.33,12,09/05/2017,1.74
"Great Studio Apt in Heart of Wrigley, Lakeview!",Lake View,41.94989414,-87.65114662,Entire home/apt,1,$75.00,$75.00,44,09/05/2017,9.04
Large Studio North Lakeview,Lake View,41.95235821,-87.65355624,Entire home/apt,2,$100.00,$50.00,8,01/05/2017,1.6
"Amazing space close to Wrigley, Downtown!",Lake View,41.94728104,-87.64820015,Entire home/apt,2,$90.00,$45.00,4,09/05/2017,4
"A private, beautiful 1BD apartment near Wrigley",Lake View,41.94636668,-87.64487218,Entire home/apt,2,$140.00,$70.00,5,30/04/2017,0.7
"Lakeview/Boystown/Wrigleyville condo, private room",Lake View,41.94040862,-87.65109675,Private room,2,$75.00,$37.50,6,31/12/2016,0.74
Comfy room in northside Chicago B&B,Lake View,41.93953067,-87.65485623,Private room,1,$125.00,$125.00,3,08/05/2017,0.24
"Cozy, updated 1 bedroom in heart of Wrigleyville!",Lake View,41.94448541,-87.65392038,Entire home/apt,2,$125.00,$62.50,0,,
HEART OF LAKEVIEW- Queen Bed/Bath-Wrigley/Boystown,Lake View,41.94301846,-87.65687355,Private room,1,$80.00,$80.00,5,13/04/2017,0.56
Private Bedroom/Bathroom Lakeview M,Lake View,41.95570147,-87.6666788,Private room,2,$85.00,$42.50,37,07/11/2016,1.91
Spacious & Cute 1 Bedroom Apartment,Lake View,41.94208494,-87.64192837,Entire home/apt,3,$110.00,$36.67,9,17/04/2017,1.33
"Bright, Spacious Private Rm Blocks from Wrigley!",Lake View,41.95229595,-87.65561601,Private room,1,$110.00,$110.00,8,02/05/2017,1.23
Simple Modern in Historic Lakeview,Lake View,41.94571063,-87.64764351,Entire home/apt,2,$190.00,$95.00,0,,
Wrigleyville/Boystown/Lakeview Pet-friendly Studio,Lake View,41.94565887,-87.64725565,Entire home/apt,2,$87.00,$43.50,3,14/04/2017,2.81
"Top floor, 1926 Bright, Low Rise Condo in Lakeview",Lake View,41.94300265,-87.64318126,Private room,2,$88.00,$44.00,11,19/03/2017,1.26
4 Bed Private Room - Wrigley Hostel,Lake View,41.94699269,-87.65502941,Private room,1,$96.00,$96.00,16,12/03/2017,0.44
Cozy Wrigleyville Two Bed & Sleeper Sofa,Lake View,41.95042096,-87.66997239,Private room,1,$75.00,$75.00,0,,
Cozy Loft Bedroom. Next to Train & Wrigley Field!,Lake View,41.94520281,-87.66779809,Private room,2,$34.00,$17.00,14,29/04/2017,1.19
Cozy Private Lower Level,Lake View,41.95035317,-87.6668506,Private room,1,$80.00,$80.00,9,16/04/2017,0.94
3 Bedroom 2 Bath Modern Vintage Greystone,Lake View,41.94233233,-87.64722224,Entire home/apt,3,$99.00,$33.00,167,03/05/2017,4.01
Luxury New 2 bedroom apt. in Wrigleyville Lakeview,Lake View,41.94088104,-87.64741576,Entire home/apt,1,$149.00,$149.00,40,13/04/2017,6
Wrigley Room,Lake View,41.94923786,-87.6460077,Entire home/apt,1,$63.00,$63.00,2,10/04/2017,1.4
Charming 1 Bedroom Near Wrigley Field!,Lake View,41.94596742,-87.66303095,Entire home/apt,2,$159.00,$79.50,13,05/05/2017,2.85
Gorgeous Top Floor 2BR - Great Lakeview Location!,Lake View,41.94178659,-87.65521845,Entire home/apt,1,$90.00,$90.00,42,08/05/2017,8.18
Private bedroom near Wrigley!,Lake View,41.93812461,-87.65983873,Private room,1,$70.00,$70.00,4,05/03/2017,0.56
Vintage Wrigleyville Apartment w/ private parking,Lake View,41.9412437,-87.6595352,Entire home/apt,2,$129.00,$64.50,30,08/05/2017,4.31
Stunning Condo in Lakeview/Boystown,Lake View,41.95067235,-87.64590771,Entire home/apt,5,$175.00,$35.00,0,,
Unique 4BR in Wrigleyville,Lake View,41.95034109,-87.64858642,Entire home/apt,2,$169.00,$84.50,8,17/10/2016,0.79
Fun and friendly experience!,Lake View,41.94391623,-87.64962251,Entire home/apt,1,$175.00,$175.00,3,13/12/2015,0.16
Up to 8 Comfy Beds Next to Wrigley Field ;-),Lake View,41.94812401,-87.65393124,Entire home/apt,2,$250.00,$125.00,2,10/04/2017,1.33
Wrigleyville Private Guesthouse,Lake View,41.94418074,-87.6608382,Entire home/apt,2,$300.00,$150.00,29,08/05/2017,1.36
Great Space in a Great location!,Lake View,41.94310431,-87.6673016,Entire home/apt,2,$150.00,$75.00,4,16/04/2017,0.65
Charming Apartament in Lakeview!,Lake View,41.9457278,-87.66552122,Entire home/apt,2,$100.00,$50.00,2,30/04/2017,1.07
"2-bedroom, 1-bathroom condo near Wrigley Field",Lake View,41.94422941,-87.65334136,Entire home/apt,2,$89.00,$44.50,5,19/02/2017,0.78
Spacious one bdrm near Wrigleyville,Lake View,41.94026091,-87.65115559,Entire home/apt,1,$100.00,$100.00,20,06/04/2017,1.47
Lake Shore Drive Condo,Lake View,41.94624685,-87.64215327,Entire home/apt,1,$200.00,$200.00,0,,
Charming Studio in East Lakeview,Lake View,41.94119249,-87.642785,Entire home/apt,2,$55.00,$27.50,4,01/01/2017,0.82
Charming 1BD condo in Lakeview East,Lake View,41.94085257,-87.64054069,Entire home/apt,1,$0.00,$0.00,0,,
3 BR unit next to Wrigley Field,Lake View,41.94689476,-87.65454505,Entire home/apt,3,$550.00,$183.33,13,19/03/2017,1.01
