name,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month
Hippie Haven in Hyde Park,41.79869005,-87.5968028,Entire home/apt,65,1,10,29/04/2017,2.33
Close to campus roomy apartment - Room 1,41.79142523,-87.595272,Private room,30,3,4,08/09/2016,0.38
1 A Hyde Park Co-op living,41.79535661,-87.59219207,Private room,30,2,13,19/11/2016,0.44
spacious private room in Hyde Park,41.79924958,-87.5846098,Private room,46,3,33,24/04/2017,3.69
5 Sabbatical in Hyde Park,41.79718187,-87.59378733,Entire home/apt,150,2,8,09/10/2016,0.59
Historic Chicago Home - Hyde Park,41.8008596,-87.58948398,Entire home/apt,375,7,7,24/04/2014,0.12
Beautiful lakefront apartment for the summer,41.79658319,-87.58244843,Entire home/apt,120,14,0,,
Modern 2BR HydePark Condo w/Parking,41.80002074,-87.60055857,Entire home/apt,270,2,13,19/09/2016,0.54
"Down Town Hyde Park, Beach, University of Chicago",41.79947301,-87.58847903,Private room,100,1,0,,
Cozy affordable Private place to sleep n relax,41.8010954,-87.58423869,Private room,83,1,8,07/05/2017,1.12
Cozy Single-Family Home near University of Chicago,41.78977182,-87.58915969,Entire home/apt,191,1,65,17/04/2017,1.94
Close to campus roomy apartment - Room 2,41.79143467,-87.59387669,Private room,29,5,2,11/09/2016,0.25
U of C campus rooms,41.79511695,-87.60210676,Private room,70,5,0,,
1 bedroom in spacious nice apartment,41.8012766,-87.6013483,Private room,65,5,0,,
Hyde Park Hideaway near University of Chicago,41.79973027,-87.59070528,Private room,24,1,16,20/04/2017,4.71
Classic Chicago Apt with quiet room,41.79782338,-87.58494647,Private room,45,1,6,30/04/2017,3.33
Really nice 2-bedroom Suite with free parking,41.79073903,-87.59575274,Private room,85,2,12,17/04/2017,1.71
3 Comforts of Cooperative Living,41.79708495,-87.59194894,Private room,35,2,23,16/04/2017,0.74
The West Room near U of Chicago,41.78980452,-87.58960685,Private room,94,1,42,17/09/2016,1.32
Classic Rowhouse with Patio and BBQ,41.79564411,-87.59855774,Entire home/apt,195,3,5,27/11/2016,0.45
Prime Location Cozy Apartment in Hyde Park,41.79141429,-87.59380341,Private room,60,1,10,07/05/2017,7.69
Really nice private room and bathroom with parking,41.79019796,-87.59800873,Private room,95,2,28,28/04/2017,2.83
Handsome 3BR in Hyde Park,41.79696362,-87.60590796,Entire home/apt,139,2,4,21/04/2017,1.82
Private Garden Suite,41.79056226,-87.59013173,Private room,105,1,54,10/04/2017,2.56
Bright & Spacious Room in Hyde Park,41.79511014,-87.585661,Private room,50,1,0,,
Your Charming Hyde Park Hideaway,41.80224491,-87.59765292,Entire home/apt,88,1,8,08/05/2017,1.45
1 minute to Medical&UChi/20min downtown/Cozy Stay!,41.79192719,-87.60527753,Private room,45,1,60,22/04/2017,5.57
Private Floor in Vintage Home,41.79118594,-87.59098877,Private room,75,1,6,26/08/2015,0.26
In the heart of Hyde Park,41.79844715,-87.58922628,Entire home/apt,110,1,29,26/04/2017,2.97
Stylish One Bedroom Apt In HydePark,41.79657689,-87.59258747,Entire home/apt,100,2,196,04/05/2017,4.53
Vintage Charm Near the Lakefront,41.8009855,-87.58577105,Entire home/apt,100,1,28,19/04/2017,1.24
"Modern, Downtown Hyde Park 1 BR Apt (SmartHome)",41.80032009,-87.60472777,Entire home/apt,117,1,19,07/05/2017,4.19
LAKE FRONT HYDE PARK,41.80110722,-87.58637508,Entire home/apt,43,1,14,29/04/2017,4.52
Hyde Park Rooms3,41.80071136,-87.59120322,Private room,45,2,43,23/10/2016,1.25
Hyde Park Loft Apartment,41.79770611,-87.60162592,Entire home/apt,150,3,13,02/01/2017,1.31
Private room w/bath in urban canopy,41.79980218,-87.59381477,Private room,75,1,124,28/04/2017,3.72
Large & Charming Private Room,41.80224726,-87.59256061,Private room,45,1,1,28/04/2017,1.00
Ocean Room UofC Campus,41.80131416,-87.59908758,Private room,70,1,25,15/04/2017,2.53
A Studio with a View,41.8016732,-87.58727956,Entire home/apt,110,1,6,07/05/2017,5.45
Spacious Studio in Hyde Park,41.79628842,-87.59162372,Entire home/apt,109,2,7,05/05/2017,2.36
Hyde Park Free airport pickup car rental Привет 欢迎,41.79940056,-87.5900515,Private room,95,1,9,01/04/2017,0.79
Cacao Room UofC Campus,41.80079871,-87.59872585,Private room,70,1,33,07/05/2017,3.34
Cozy One Bedroom with Porch,41.79735802,-87.59584842,Entire home/apt,95,1,1,01/04/2017,0.75
Sunny Oasis in Historic Hyde Park,41.80105617,-87.58886864,Entire home/apt,112,25,0,,
Matcha Room Hyde Park,41.80173906,-87.60060315,Private room,70,1,49,23/04/2017,4.97
Private Room in Luxury Duplex Apartment,41.80108804,-87.59862733,Private room,31,7,1,29/04/2017,1.00
"Quiet, sunny Hyde Park room!",41.80147993,-87.59825401,Private room,55,2,15,13/11/2016,0.78
Hyde Park Studio Apt ($75/night for 31 days),41.80097539,-87.59214622,Entire home/apt,85,7,3,03/05/2017,3.00
Sunny Greystone House in Hyde Park,41.79817205,-87.59621334,Entire home/apt,250,2,6,09/08/2016,0.26
Lovely Hyde Park condo,41.80108855,-87.59723161,Private room,99,1,0,,
"Spacious, Comfortable & Convenient",41.80104966,-87.58702889,Entire home/apt,123,1,0,,
Welcome to Hyde Park's University of Chicago!,41.79101082,-87.59031311,Entire home/apt,99,1,34,06/05/2017,4.90
Private Room w/ Bath near U of C,41.80198638,-87.60464503,Private room,90,2,8,07/11/2016,0.56
Luxury Duplex Apartment - Hyde Park (Private Room),41.80217666,-87.59731252,Private room,45,7,4,26/12/2016,0.66
Fresh and Sunny Bed & Bath by UofC,41.79717849,-87.59734717,Private room,70,2,102,25/03/2017,3.92
Musician's Quarters,41.79962669,-87.59476784,Entire home/apt,85,3,24,26/09/2016,0.59
Cozy Studio Apt. Home--5 Min. to U of C,41.79770172,-87.60196066,Entire home/apt,60,2,35,07/05/2017,3.63
Historic Hyde Park Apartment,41.80184347,-87.59192325,Entire home/apt,650,3,4,21/07/2016,0.36
Newly Renovated 4BR/2BA Condo @ Historic Hyde Park,41.79904723,-87.6039073,Private room,149,2,9,26/04/2017,4.50
"Come, spend the summer near the Obama's.",41.79633313,-87.59808352,Entire home/apt,60,4,0,,
"Cozy room, private bath, Hyde Park",41.80156563,-87.59705165,Private room,40,1,75,05/05/2017,5.73
Hyde Park,41.79856507,-87.60588856,Entire home/apt,102,1,0,,
Charming Greystone On Boulevard,41.80187526,-87.6030153,Entire home/apt,120,3,0,,
Hyde Park - Walk to Univ of Chicago,41.7888649,-87.58670891,Private room,50,2,75,04/05/2017,2.64
Garden Apartment in Historic Hyde Park Mansion,41.80088459,-87.59571892,Entire home/apt,240,2,10,07/05/2017,1.29
Luxury Duplex Apartment - Hyde Park (Private Room),41.80107472,-87.59635489,Private room,72,7,1,10/11/2016,0.16
Private Sunny Hyde Park Room & Bath,41.79819026,-87.59601318,Private room,98,1,128,09/04/2017,2.86
Cozy Room & Space in Historic Hyde Park,41.80036707,-87.58821499,Private room,53,1,91,06/05/2017,6.20
"New Refurb, 54th and Woodlawn | Double Bed!",41.79748853,-87.59635755,Private room,34,1,13,07/04/2017,1.27
Desert Room Hyde Park,41.80128959,-87.60049301,Private room,70,1,44,08/05/2017,4.46
"Spacious, tasteful, safe, clean acco in Hyde Park",41.80065421,-87.58488197,Private room,69,1,35,30/04/2017,3.09
4 Cooperative Living in Hyde Park,41.79507237,-87.59332266,Private room,40,2,22,30/03/2017,0.89
Private Bed & Bath---near Museum & UChicago,41.79401253,-87.58375316,Private room,60,1,2,09/05/2017,2.00
Clean & Spacious Room in Hyde Park,41.79702482,-87.58635428,Private room,48,2,10,09/05/2017,1.53
The NorthEast Room near U of C,41.79124463,-87.58821797,Private room,84,1,3,09/04/2016,0.12
Master Bedroom Suite,41.78859622,-87.58903276,Private room,100,1,113,24/04/2017,4.15
Private Room in Hyde Park,41.79369236,-87.58667995,Private room,30,1,3,28/04/2017,3.00
"Hyde Park Beauty: Old Charm, Modern Amenities",41.79738547,-87.59901411,Entire home/apt,205,2,1,07/05/2017,1.00
Swanky Studio Steps From the Lake,41.80163862,-87.58647633,Entire home/apt,111,1,1,09/05/2017,1.00
5min walk to UnivOfChicago. 1BDR/Private Full Bath,41.78315782,-87.60597765,Private room,52,2,15,01/05/2017,1.81
Spacious Bedroom in Woodlawn near lake,41.77383935,-87.59310631,Private room,50,1,9,07/05/2017,0.93
Cozy three bedroom apartment,41.77997566,-87.59490042,Entire home/apt,120,1,7,23/04/2017,2.08
(MEV) 2Blks to Univ of Chicago歡迎 أهلا بكस्वागत हे,41.78385813,-87.60582731,Private room,55,2,0,,
Free Garage Parking with Room,41.77741038,-87.60011148,Private room,85,1,0,,
Home away from home near U of C,41.78413711,-87.60495529,Entire home/apt,100,2,16,23/04/2017,1.45
ModLux 3 bks to U of Chicago歡迎 أهلا بكस्वागत हे,41.78277741,-87.61015465,Entire home/apt,155,3,2,23/04/2017,2.00
Amazing 3-bedroom garden condo near U of C,41.78180014,-87.61091304,Entire home/apt,106,2,23,08/05/2017,2.18
(MEL) 2Blks to Univ of Chicago歡迎 أهلا بكस्वागत हे,41.78065725,-87.60181128,Private room,41,2,1,09/04/2017,0.94
(2EV) 2Blks to Univ of Chicago歡迎 أهلا بكस्वागत हे,41.78248171,-87.60652126,Private room,45,2,6,23/04/2017,2.69
